Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2018	cullin-RING ubiquitin ligase complex (GO:0031461)	3/181	0.0012827515195939125	0.04874455774456867	0	0	15.8892455858748	105.80248041543942	FZR1;FBXW7;KLHL15
GO_Cellular_Component_2018	IkappaB kinase complex (GO:0008385)	1/11	0.013124225781325726	0.17696547346511726	0	0	86.8086956521739	376.1677267870623	IKBKG
GO_Cellular_Component_2018	anaphase-promoting complex (GO:0005680)	1/21	0.0249120249496479	0.17696547346511726	0	0	43.38260869565217	160.18614661402282	FZR1
GO_Cellular_Component_2018	serine/threonine protein kinase complex (GO:1902554)	1/25	0.029589265313707244	0.17696547346511726	0	0	36.14492753623188	127.2425658336615	IKBKG
GO_Cellular_Component_2018	peroxisomal membrane (GO:0005778)	1/40	0.04693816966805759	0.17696547346511726	0	0	22.226309921962095	67.98859468163421	MAVS
GO_Cellular_Component_2018	nuclear ubiquitin ligase complex (GO:0000152)	1/41	0.04808413292751671	0.17696547346511726	0	0	21.669565217391305	65.76286224679887	FZR1
GO_Cellular_Component_2018	chromatin (GO:0000785)	2/296	0.04865029068546097	0.17696547346511726	0	0	6.085961657390229	18.398455443147885	NCOR2;PDS5A
GO_Cellular_Component_2018	chromosome, centromeric region (GO:0000775)	1/49	0.057204422219257416	0.17696547346511726	0	0	18.05072463768116	51.645362778983234	PDS5A
GO_Cellular_Component_2018	ruffle membrane (GO:0032587)	1/53	0.06173310622682001	0.17696547346511726	0	0	16.65886287625418	46.3938490228076	DDX58
GO_Cellular_Component_2018	SCF ubiquitin ligase complex (GO:0019005)	1/54	0.06286201570363556	0.17696547346511726	0	0	16.343724364232973	45.22003200693963	FBXW7
GO_Cellular_Component_2018	nuclear matrix (GO:0016363)	1/59	0.06848706579454937	0.17696547346511726	0	0	14.93103448275862	40.031751417314474	NCOR2
GO_Cellular_Component_2018	vacuole (GO:0005773)	1/62	0.0718465495096426	0.17696547346511726	0	0	14.194583036350675	37.377498142539395	PIP4K2C
GO_Cellular_Component_2018	autophagosome (GO:0005776)	1/64	0.07407975146726484	0.17696547346511726	0	0	13.742581090407178	35.766620798258494	PIP4K2C
GO_Cellular_Component_2018	Cul3-RING ubiquitin ligase complex (GO:0031463)	1/70	0.0807485039378433	0.17696547346511726	0	0	12.54379332073094	31.565400257861327	KLHL15
GO_Cellular_Component_2018	bicellular tight junction (GO:0005923)	1/72	0.08296117473656324	0.17696547346511726	0	0	12.189222290263318	30.34363732698863	DDX58
GO_Cellular_Component_2018	peroxisomal part (GO:0044439)	1/75	0.08627061346912117	0.17696547346511726	0	0	11.693301997649824	28.65170329299039	MAVS
GO_Cellular_Component_2018	chromosomal region (GO:0098687)	1/76	0.0873712140350116	0.17696547346511726	0	0	11.5368115942029	28.122009760714388	PDS5A
GO_Cellular_Component_2018	nuclear periphery (GO:0034399)	1/78	0.08956860503924312	0.17696547346511726	0	0	11.236024844720497	27.109723557490454	NCOR2
GO_Cellular_Component_2018	mitotic spindle (GO:0072686)	1/84	0.0961303979665749	0.17696547346511726	0	0	10.420639078051336	24.405654595649878	IKBKG
GO_Cellular_Component_2018	trans-Golgi network membrane (GO:0032588)	1/85	0.09721961435239948	0.17696547346511726	0	0	10.296066252587991	23.99789406869696	COG7
GO_Cellular_Component_2018	Golgi membrane (GO:0000139)	2/442	0.09779670902019638	0.17696547346511726	0	0	4.036363636363636	9.383997932344148	SLC35A1;COG7
GO_Cellular_Component_2018	chromosome (GO:0005694)	1/97	0.11019248853743883	0.18485020393395732	0	0	9.003623188405797	19.857729958320643	PDS5A
GO_Cellular_Component_2018	Golgi subcompartment (GO:0098791)	2/479	0.11188301817055313	0.18485020393395732	0	0	3.7162187916904896	8.139639349081268	SLC35A1;COG7
GO_Cellular_Component_2018	spindle pole (GO:0000922)	1/107	0.12086656552204235	0.191372062076567	0	0	8.150123051681707	17.221765081771377	IKBKG
GO_Cellular_Component_2018	mitochondrial outer membrane (GO:0005741)	1/115	0.12931736674655428	0.1965623974547625	0	0	7.5751334858886334	15.494827134911327	MAVS
GO_Cellular_Component_2018	cytosolic part (GO:0044445)	1/159	0.17442293322238006	0.2549258254788632	0	0	5.453494771601541	9.5232867395977	IKBKG
GO_Cellular_Component_2018	nucleolus (GO:0005730)	2/676	0.193965655406562	0.2633574699829972	0	0	2.6034529268950632	4.269855897112754	COG7;FBXO11
GO_Cellular_Component_2018	trans-Golgi network (GO:0005802)	1/185	0.20001438823815826	0.2633574699829972	0	0	4.676748582230624	7.526600036404114	COG7
GO_Cellular_Component_2018	spindle (GO:0005819)	1/186	0.2009833323554452	0.2633574699829972	0	0	4.651233842538192	7.463059576979635	IKBKG
GO_Cellular_Component_2018	integral component of plasma membrane (GO:0005887)	3/1463	0.254801148702372	0.32274812168967115	0	0	1.81174168297456	2.477143397245825	SLC35A1;ATP13A1;ATP2B1
GO_Cellular_Component_2018	nuclear chromatin (GO:0000790)	1/253	0.2634019447621731	0.3228798032568573	0	0	3.4030365769496203	4.53990298042899	NCOR2
GO_Cellular_Component_2018	actin cytoskeleton (GO:0015629)	1/294	0.2992640225853767	0.3553760268201349	0	0	2.920759756640451	3.5236894960074183	DDX58
GO_Cellular_Component_2018	focal adhesion (GO:0005925)	1/356	0.35033423360491805	0.4034151780905117	0	0	2.4030618493570115	2.5204937795160784	IRF2
GO_Cellular_Component_2018	nuclear chromosome part (GO:0044454)	1/392	0.3783302294400782	0.4228396681977345	0	0	2.1778049594128768	2.1167999425604127	NCOR2
GO_Cellular_Component_2018	nucleoplasm part (GO:0044451)	1/407	0.3896507073114693	0.4230493393667381	0	0	2.0957378453630326	1.9752424830411328	NCOR2
GO_Cellular_Component_2018	cytoskeleton (GO:0005856)	1/520	0.4688032821822636	0.4948479089701671	0	0	1.6299740303258776	1.234822750488965	DDX58
GO_Cellular_Component_2018	nuclear body (GO:0016604)	1/618	0.5293959660124163	0.5437039650938329	0	0	1.3641744767810584	0.8676403533490646	NCOR2
GO_Cellular_Component_2018	mitochondrion (GO:0005739)	1/1026	0.7176611139264042	0.7176611139264042	0	0	0.8038600212089078	0.2666868381967823	MAVS
